Year,Data_Type,Slot,Percentile,Overall_Score,VARC_Score,DILR_Score,QA_Score
2023,Scaled Score,Consolidated,99.9,101.26,51.14,36.58,36.40
2023,Scaled Score,Consolidated,99.5,84.29,44.00,30.99,29.84
2023,Scaled Score,Consolidated,99.0,76.09,39.77,27.34,26.69
2023,Scaled Score,Consolidated,98.0,66.68,36,24.5,24.31
2023,Scaled Score,Consolidated,95.0,54.86,28.73,19.26,18.28
2023,Scaled Score,Consolidated,90.0,45.58,23.38,15.63,13.63
2023,Scaled Score,Consolidated,85.0,42.29,20.66,13.01,12
2023,Scaled Score,Consolidated,80.0,37.68,17.58,11.67,9.20
2023,Estimated Raw Score,Slot 1,99,80,40,26,26.5
2023,Estimated Raw Score,Slot 2,99,82.5,41,22.5,27.5
2023,Estimated Raw Score,Slot 3,99,79,39,23.5,27.5
2023,Estimated Raw Score,Slot 1,95,55,29,19,21
2023,Estimated Raw Score,Slot 2,95,57.5,31.5,19,21
2023,Estimated Raw Score,Slot 3,95,57.5,29,19,19
2023,Estimated Raw Score,Slot 1,90,46.5,23,16,16
2023,Estimated Raw Score,Slot 2,90,47,25,14.5,16
2023,Estimated Raw Score,Slot 3,90,47,24.5,16,16
2023,Estimated Raw Score,Slot 1,85,40,21,13.5,13
2023,Estimated Raw Score,Slot 2,85,41.5,21,12.5,13
2023,Estimated Raw Score,Slot 3,85,40.5,21,13,13
2023,Estimated Raw Score,Slot 1,80,36,19,11.5,11
2023,Estimated Raw Score,Slot 2,80,37.5,19,10.5,11
2023,Estimated Raw Score,Slot 3,80,36.5,19,10.5,10.5
2022,Scaled Score,Consolidated,99.9,109.9,47,37,47
2022,Scaled Score,Consolidated,99.5,92.87,43,33,38
2022,Scaled Score,Consolidated,99.0,83.64,40,30,33
2022,Scaled Score,Consolidated,98.0,73.88,35,25,29
2022,Scaled Score,Consolidated,95.0,59.75,28,21,22
2022,Scaled Score,Consolidated,90.0,48.44,24,18,17
2022,Scaled Score,Consolidated,85.0,41.32,21,14,15
2022,Scaled Score,Consolidated,80.0,36.02,17,13,12
2022,Estimated Raw Score,Slot 1,99.0,98,39,29,37
2022,Estimated Raw Score,Slot 2,99.0,99,41,31,37
2022,Estimated Raw Score,Slot 3,99.0,94.5,41,26.5,31.5
2022,Estimated Raw Score,Slot 1,95.0,71,31,23,29
2022,Estimated Raw Score,Slot 2,95.0,71,32,23,32
2022,Estimated Raw Score,Slot 3,95.0,67.5,32,21,24
2022,Estimated Raw Score,Slot 1,90.0,59,27,19,23
