Year,Data_Type,Slot,Percentile,Overall_Score,VARC_Score,DILR_Score,QA_Score
2024,Scaled Score,Consolidated,99.9,127.0,55.0,50.1,45.0
2024,Scaled Score,Consolidated,99.5,103.97,44.0,41.4,36.5
2024,Scaled Score,Consolidated,99.0,95.13,40.3,37.8,33.0
2024,Scaled Score,Consolidated,98.0,85.0,36.0,34.0,29.0
2024,Scaled Score,Consolidated,95.0,70.0,30.0,27.0,22.0
2024,Scaled Score,Consolidated,90.0,58.0,24.0,22.5,17.0
2024,Scaled Score,Consolidated,85.0,49.0,20.42,19.5,13.7
2024,Scaled Score,Consolidated,80.0,44.0,18.2,17.0,11.6
2024,Estimated Raw Score,Consolidated,99.0,88.33,39.33,28.0,28.67
2024,Estimated Raw Score,Consolidated,95.0,66.67,30.0,22.0,21.33
2024,Estimated Raw Score,Consolidated,90.0,54.67,24.33,18.33,16.33
2024,Estimated Raw Score,Consolidated,85.0,45.67,21.33,15.33,13.0
2024,Estimated Raw Score,Consolidated,80.0,39.33,19.0,12.67,11.33
2024,Estimated Raw Score,Slot 1,99.0,91.0,40.0,26.0,27.0
2024,Estimated Raw Score,Slot 2,99.0,86.0,38.0,28.0,28.0
2024,Estimated Raw Score,Slot 3,99.0,88.0,40.0,30.0,31.0
2024,Estimated Raw Score,Slot 1,95.0,69.0,31.0,19.0,21.0
2024,Estimated Raw Score,Slot 2,95.0,66.0,29.0,22.0,21.0
2024,Estimated Raw Score,Slot 3,95.0,65.0,30.0,25.0,22.0
2024,Estimated Raw Score,Slot 1,90.0,57.0,25.0,16.0,16.0
2024,Estimated Raw Score,Slot 2,90.0,54.0,23.0,19.0,16.0
2024,Estimated Raw Score,Slot 3,90.0,53.0,25.0,20.0,17.0
2024,Estimated Raw Score,Slot 1,85.0,48.0,22.0,14.0,12.0
2024,Estimated Raw Score,Slot 2,85.0,45.0,21.0,16.0,12.0
2024,Estimated Raw Score,Slot 3,85.0,44.0,21.0,16.0,15.0
2024,Estimated Raw Score,Slot 1,80.0,42.0,20.0,12.0,10.0
2024,Estimated Raw Score,Slot 2,80.0,39.0,18.0,13.0,11.0
2024,Estimated Raw Score,Slot 3,80.0,37.0,19.0,13.0,13.0
2023,Scaled Score,Consolidated,99.9,101.26,51.14,36.58,36.4
2023,Scaled Score,Consolidated,99.5,84.29,44.0,30.99,29.84
2023,Scaled Score,Consolidated,99.0,76.09,39.77,27.34,26.69
2023,Scaled Score,Consolidated,98.0,66.68,36.0,24.5,24.31
2023,Scaled Score,Consolidated,95.0,54.86,28.73,19.26,18.28
2023,Scaled Score,Consolidated,90.0,45.58,23.38,15.63,13.63
2023,Scaled Score,Consolidated,85.0,42.29,20.66,13.01,12.0
2023,Scaled Score,Consolidated,80.0,37.68,17.58,11.67,9.2
2023,Estimated Raw Score,Slot 1,99.0,80.0,40.0,26.0,26.5
2023,Estimated Raw Score,Slot 2,99.0,82.5,41.0,22.5,27.5
2023,Estimated Raw Score,Slot 3,99.0,79.0,39.0,23.5,27.5
2023,Estimated Raw Score,Slot 1,95.0,55.0,29.0,19.0,21.0
2023,Estimated Raw Score,Slot 2,95.0,57.5,31.5,19.0,21.0
2023,Estimated Raw Score,Slot 3,95.0,57.5,29.0,19.0,19.0
2023,Estimated Raw Score,Slot 1,90.0,46.5,23.0,16.0,16.0
2023,Estimated Raw Score,Slot 2,90.0,47.0,25.0,14.5,16.0
2023,Estimated Raw Score,Slot 3,90.0,47.0,24.5,16.0,16.0
2023,Estimated Raw Score,Slot 1,85.0,40.0,21.0,13.5,13.0
2023,Estimated Raw Score,Slot 2,85.0,41.5,21.0,12.5,13.0
2023,Estimated Raw Score,Slot 3,85.0,40.5,21.0,13.0,13.0
2023,Estimated Raw Score,Slot 1,80.0,36.0,19.0,11.5,11.0
2023,Estimated Raw Score,Slot 2,80.0,37.5,19.0,10.5,11.0
2023,Estimated Raw Score,Slot 3,80.0,36.5,19.0,10.5,10.5
2022,Scaled Score,Consolidated,99.9,109.9,47.0,37.0,47.0
2022,Scaled Score,Consolidated,99.5,92.87,43.0,33.0,38.0
2022,Scaled Score,Consolidated,99.0,83.64,40.0,30.0,33.0
2022,Scaled Score,Consolidated,98.0,73.88,35.0,25.0,29.0
2022,Scaled Score,Consolidated,95.0,59.75,28.0,21.0,22.0
2022,Scaled Score,Consolidated,90.0,48.44,24.0,18.0,17.0
2022,Scaled Score,Consolidated,85.0,41.32,21.0,14.0,15.0
2022,Scaled Score,Consolidated,80.0,36.02,17.0,13.0,12.0
2022,Estimated Raw Score,Slot 1,99.0,98.0,39.0,29.0,37.0
2022,Estimated Raw Score,Slot 2,99.0,99.0,41.0,31.0,37.0
2022,Estimated Raw Score,Slot 3,99.0,94.5,41.0,26.5,31.5
2022,Estimated Raw Score,Slot 1,95.0,71.0,31.0,23.0,29.0
2022,Estimated Raw Score,Slot 2,95.0,71.0,32.0,23.0,32.0
2022,Estimated Raw Score,Slot 3,95.0,67.5,32.0,21.0,24.0
2022,Estimated Raw Score,Slot 1,90.0,59.0,27.0,19.0,23.0
2022,Estimated Raw Score,Slot 2,90.0,59.0,28.0,19.0,25.0
2022,Estimated Raw Score,Slot 3,90.0,56.5,28.0,17.0,18.0
2022,Estimated Raw Score,Slot 1,85.0,49.5,24.0,17.0,19.0
2022,Estimated Raw Score,Slot 2,85.0,50.0,25.0,17.0,14.0
2022,Estimated Raw Score,Slot 3,85.0,48.0,25.0,15.0,14.0
2022,Estimated Raw Score,Slot 1,80.0,44.5,19.5,15.0,17.0
2022,Estimated Raw Score,Slot 2,80.0,44.5,20.5,15.0,12.0
2022,Estimated Raw Score,Slot 3,80.0,42.0,20.5,13.0,12.0
2021,Estimated Raw Score,Consolidated,99.0,94.17,37.83,30.17,38.83
2021,Estimated Raw Score,Consolidated,95.0,63.67,29.67,20.0,24.0
2021,Estimated Raw Score,Consolidated,90.0,51.5,24.67,16.0,20.33
2021,Estimated Raw Score,Consolidated,85.0,45.17,22.0,14.67,18.33
2021,Estimated Raw Score,Consolidated,80.0,39.17,20.0,12.0,13.67
2021,Estimated Raw Score,Slot 1,99.0,97.0,38.0,28.5,41.0
2021,Estimated Raw Score,Slot 2,99.0,95.0,38.0,30.5,40.5
2021,Estimated Raw Score,Slot 3,99.0,90.5,37.5,31.5,35.0
2021,Estimated Raw Score,Slot 1,95.0,60.0,30.0,21.0,25.0
2021,Estimated Raw Score,Slot 2,95.0,68.0,30.0,21.0,25.0
2021,Estimated Raw Score,Slot 3,95.0,63.0,29.0,18.0,22.0
2021,Estimated Raw Score,Slot 1,90.0,46.5,25.0,17.0,21.0
2021,Estimated Raw Score,Slot 2,90.0,56.0,25.0,17.0,21.0
2021,Estimated Raw Score,Slot 3,90.0,52.0,24.0,14.0,19.0
2021,Estimated Raw Score,Slot 1,85.0,41.5,22.0,17.0,22.0
2021,Estimated Raw Score,Slot 2,85.0,49.0,22.0,15.0,17.0
2021,Estimated Raw Score,Slot 3,85.0,45.0,22.0,12.0,16.0
2021,Estimated Raw Score,Slot 1,80.0,36.5,20.0,13.0,14.0
2021,Estimated Raw Score,Slot 2,80.0,42.0,20.0,13.0,14.0
2021,Estimated Raw Score,Slot 3,80.0,39.0,20.0,10.0,13.0
2020,Estimated Raw Score,Consolidated,99.0,110.83,45.33,32.67,43.67
2020,Estimated Raw Score,Consolidated,95.0,93.33,34.67,25.67,31.67
2020,Estimated Raw Score,Consolidated,90.0,79.33,28.0,20.0,25.33
2020,Estimated Raw Score,Slot 1,99.0,112.5,46.5,35.0,45.0
2020,Estimated Raw Score,Slot 2,99.0,115.0,43.0,33.5,43.0
2020,Estimated Raw Score,Slot 3,99.0,105.0,46.5,29.5,43.0
2020,Estimated Raw Score,Slot 1,95.0,100.0,35.0,28.5,35.0
2020,Estimated Raw Score,Slot 2,95.0,90.0,32.5,26.5,30.0
2020,Estimated Raw Score,Slot 3,95.0,90.0,36.5,22.0,30.0
2020,Estimated Raw Score,Slot 1,90.0,85.0,28.0,22.0,28.0
2020,Estimated Raw Score,Slot 2,90.0,78.0,26.0,20.0,24.0
2020,Estimated Raw Score,Slot 3,90.0,75.0,30.0,18.0,24.0
2019,Estimated Raw Score,Consolidated,99.5,170.0,68.0,57.0,69.0
2019,Estimated Raw Score,Consolidated,99.0,160.5,68.0,49.0,60.0
2019,Estimated Raw Score,Consolidated,95.0,125.0,56.0,37.5,48.5
2019,Estimated Raw Score,Consolidated,90.0,100.0,46.5,33.0,38.5
2019,Estimated Raw Score,Consolidated,85.0,96.5,49.5,26.5,36.5
2019,Estimated Raw Score,Consolidated,80.0,75.0,30.0,24.0,23.0
2018,Estimated Raw Score,Consolidated,99.0,147.5,60.5,49.0,47.75
2018,Estimated Raw Score,Consolidated,90.0,101.25,44.75,28.25,27.25
2018,Estimated Raw Score,Slot 1,99.5,160.0,68.0,55.0,50.0
2018,Estimated Raw Score,Slot 1,99.0,152.5,62.0,47.0,46.5
2018,Estimated Raw Score,Slot 2,99.0,142.5,59.0,51.0,49.0
2018,Estimated Raw Score,Slot 1,95.0,120.0,50.0,35.0,35.0
2018,Estimated Raw Score,Slot 1,90.0,105.0,44.0,24.0,25.0
2018,Estimated Raw Score,Slot 2,90.0,97.5,45.5,32.5,29.5
